library,term,pval,adj_pval,combined_score,n_genes,genes
GO_BP,Response To Amyloid-Beta (GO:1904645),2.5894519478573602e-12,4.44444116141336e-10,1310.14,9,MMP12;APP;GSK3B;MMP13;CDK5;MMP2;MMP3;MMP9;IGF1R
GO_BP,Extracellular Matrix Disassembly (GO:0022617),3.239650122774283e-12,5.097049526498206e-10,1261.96,9,ADAMTS4;MMP12;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9;ELANE
GO_BP,Cellular Component Disassembly (GO:0022411),4.986263913918925e-12,7.241589438060716e-10,1174.17,9,ADAMTS4;MMP12;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9;ELANE
GO_BP,Protein Modification Process (GO:0036211),1.6552481668536924e-11,2.2322203850141224e-09,171.3,23,APP;GSK3B;SYK;DAPK1;NEK6;PRKCA;SIRT6;BRAF;PTK2;CREB1;CDK6;NPC1;CDK5;CDK4;GRK6;BTK;PIM1;CDK1;AKT1;MAPK1;NEK2;JAK2;JAK3
GO_BP,Cellular Response To Oxygen-Containing Compound (GO:1901701),2.147983000715263e-11,2.7035946035669442e-09,226.7,18,GSK3B;DAPK1;MMP3;ALOX15;BRAF;AHR;ESR1;MMP9;EGFR;NFKB1;TSHR;CREB1;AXL;AKT1;NLRP3;MAPK1;MAPT;CFTR
GO_BP,Positive Regulation Of Transferase Activity (GO:0051347),4.075679421264022e-11,4.8093017170915454e-09,416.23,12,ALK;AXL;TNKS;FLT3;KDR;CTNNB1;MAPK1;NEK2;TEK;MET;EGFR;IGF1R
GO_BP,Positive Regulation Of Cell Population Proliferation (GO:0008284),4.4305573314601225e-11,4.920524848115713e-09,195.44,19,KDM1A;FLT3;SIRT6;EGFR;PTK2;IL2;TSHR;IGF1R;DPP4;CDK6;TERT;THPO;CDK4;KDR;PIM1;BCL2;AKT1;JAK2;ELANE
GO_BP,Positive Regulation Of Phosphorylation (GO:0042327),7.23731845623506e-11,7.591142914095441e-09,290.45,14,ALK;APP;FLT3;F2;MMP9;EGFR;PTK2;IGF1R;THPO;AXL;KDR;AKT1;TEK;MET
GO_BP,Long-Chain Fatty Acid Biosynthetic Process (GO:0042759),8.104191429993837e-11,8.05300706306756e-09,1646.92,7,CYP2C9;ALOX5;ALOX15;CYP1A2;CYP1A1;ALOX12;CYP3A4
GO_BP,Positive Regulation Of Multicellular Organismal Process (GO:0051240),9.39759011382959e-11,8.871325067455133e-09,209.1,17,ITK;ACHE;KDM1A;SYK;PRKCA;SIRT6;PTK2;IL2;TSHR;IGF1R;FABP4;TERT;APEX1;CTNNB1;STAT6;PPARG;JAK2
GO_BP,Regulation Of Cell Population Proliferation (GO:0042127),4.6541323789144787e-10,4.119195091526418e-08,129.38,22,ALK;APP;FLT3;EGFR;PTK2;IL2;TSHR;IGF1R;DPP4;CDK6;THPO;CDK4;ADORA3;LMNA;KDR;BCL2;AKT1;NOX4;CTNNB1;STAT6;JAK2;TP53
GO_BP,Positive Regulation Of Kinase Activity (GO:0033674),4.799909534617648e-10,4.119195091526418e-08,426.17,10,ALK;FLT3;AXL;KDR;TEK;F2;MET;PTK2;EGFR;IGF1R
GO_BP,Positive Regulation Of Protein Phosphorylation (GO:0001934),5.796821233746479e-10,4.7584341257884135e-08,184.03,16,APP;SRC;BRAF;F2;MMP9;EGFR;PTK2;THPO;KDR;AKT1;MAPK1;PPARG;TEK;JAK2;TP53;SNCA
GO_BP,Arachidonic Acid Metabolic Process (GO:0019369),6.100322565943632e-10,4.798920418542324e-08,708.68,8,CYP2C9;ALOX15;CYP1A2;CYP1A1;ALOX12;CYP2C19;PTGS2;PTGS1
GO_BP,Negative Regulation Of Inflammatory Response (GO:0050728),9.163017404411213e-10,6.919910743811347e-08,384.55,10,SYK;SRC;ALOX5;NLRP3;GBA1;PPARG;AHR;TEK;PPARA;ELANE
GO_BP,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),2.7243517315070317e-09,1.9782984881097216e-07,322.65,10,ALK;SYK;AXL;FLT3;KDR;TEK;JAK2;MET;JAK3;EGFR
GO_BP,Response To Cytokine (GO:0034097),2.9469754717909382e-09,2.0606998854597375e-07,318.55,10,APP;SRC;FLT3;BCL2;PRKCA;JAK2;JAK3;NFKB1;SNCA;MCL1
GO_BP,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),5.541985059243226e-09,3.736881354232575e-07,355.65,9,ACHE;FABP4;KDM1A;SYK;SIRT6;STAT6;JAK2;TSHR;IGF1R
GO_BP,Response To UV-A (GO:0070141),7.461478176969214e-09,4.857679585557888e-07,2094.31,5,MMP1;MMP2;MMP3;MMP9;EGFR
GO_BP,Positive Regulation Of Metabolic Process (GO:0009893),1.3125961517755585e-08,8.26060511517418e-07,305.07,9,ACHE;FABP4;KDM1A;SYK;SIRT6;STAT6;JAK2;TSHR;IGF1R
GO_BP,Extracellular Structure Organization (GO:0043062),1.4238435633324001e-08,8.671666605069585e-07,300.65,9,ADAMTS4;MMP12;APP;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9
GO_BP,External Encapsulating Structure Organization (GO:0045229),1.5432569705749018e-08,9.105216126391921e-07,296.34,9,ADAMTS4;MMP12;APP;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9
GO_BP,Long-Chain Fatty Acid Metabolic Process (GO:0001676),1.677397256321964e-08,9.596745514957176e-07,375.38,8,CYP2C9;ALOX5;ALOX15;CYP1A2;CYP1A1;ALOX12;CYP2C19;CYP3A4
GO_BP,Negative Regulation Of Defense Response (GO:0031348),1.808636106255282e-08,1.004324990767639e-06,287.99,9,ALOX5;AKT1;NLRP3;GBA1;PPARG;AHR;TEK;PPARA;ELANE
GO_BP,ERBB Signaling Pathway (GO:0038127),2.5998143066588716e-08,1.3917561693401546e-06,473.4,7,PIK3CA;SRC;AKT1;MAPK1;BRAF;EGFR;PTK2
GO_BP,Cellular Response To Oxidative Stress (GO:0034599),2.6537723567926678e-08,1.3917561693401546e-06,268.68,9,DAPK1;AKT1;MAPK1;MAPT;TP53;HIF1A;MMP9;EGFR;SNCA
GO_BP,Regulation Of Kinase Activity (GO:0043549),3.328951553484227e-08,1.6986650089130323e-06,328.08,8,FLT3;AXL;KDR;MAPT;TEK;MET;EGFR;IGF1R
GO_BP,Growth Hormone Receptor Signaling Pathway (GO:0060396),3.521761150632045e-08,1.7497592243140265e-06,1280.17,5,STAT6;PIK3R1;JAK2;JAK3;PTK2
GO_BP,Positive Regulation Of DNA-templated Transcription (GO:0045893),3.669096938056701e-08,1.7762192356541155e-06,72.08,25,APP;KDM1A;TNKS;AHR;PIK3R1;HIF1A;EGFR;TERT;AKT1;NLRP3;CD38;STAT6;ESRRA;CREBBP;ESR1;ESR2;NFKB1;MMP12;CREB1;APEX1;CTNNB1;PPARG;PPARA;TP53;MET
GO_BP,Peptidyl-Threonine Phosphorylation (GO:0018107),4.330406113168627e-08,2.0439516854155923e-06,423.44,7,GSK3B;CDK5;TNKS;CDK1;AKT1;MAPK1;PRKCA
GO_BP,Regulation Of miRNA Transcription (GO:1902893),4.889956312469609e-08,2.251765248278688e-06,412.3,7,TERT;PPARG;PPARA;TP53;HIF1A;ESR1;EGFR
GO_BP,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),5.234740851502786e-08,2.3531406494374425e-06,299.9,8,FLT3;SRC;KDR;TEK;JAK2;EGFR;PTK2;IGF1R
GO_BP,Steroid Metabolic Process (GO:0008202),6.22577462970476e-08,2.688662077906927e-06,289.7,8,CYP2C9;NPC1;HSD17B2;CYP1A2;CYP1A1;CYP2C19;CYP3A4;CYP19A1
GO_BP,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),6.26594975783394e-08,2.688662077906927e-06,101.01,16,APP;SRC;FLT3;NEK6;EGFR;PTK2;IGF1R;PIK3CA;THPO;AXL;KDR;NLRP3;PPARG;TEK;JAK2;TP53
GO_BP,Positive Regulation Of Protein Kinase B Signaling (GO:0051897),6.779078306233373e-08,2.8441999649263577e-06,284.81,8,PIK3CA;THPO;SRC;AXL;TEK;EGFR;PTK2;IGF1R
GO_BP,Extracellular Matrix Organization (GO:0030198),7.865418080670017e-08,3.1520400131498175e-06,183.31,10,MMP12;ADAMTS4;APP;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9;ELANE
GO_BP,Response To Peptide (GO:1901652),7.92778709915707e-08,3.1520400131498175e-06,553.27,6,MMP12;MMP13;MMP2;MMP3;STAT6;MMP9
GO_BP,Positive Regulation Of Epithelial Cell Migration (GO:0010634),8.013661050380891e-08,3.1520400131498175e-06,275.41,8,SRC;KDR;AKT1;PRKCA;TEK;MMP9;HIF1A;PTK2
GO_BP,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),9.253030652977858e-08,3.5652493618004482e-06,74.05,21,ESRRA;APP;CREBBP;KDM1A;TNKS;AHR;PIK3R1;ESR1;HIF1A;EGFR;NFKB1;MMP12;CREB1;APEX1;NLRP3;CTNNB1;STAT6;PPARG;PPARA;TP53;MET
GO_BP,Regulation Of Protein Kinase B Signaling (GO:0051896),9.812684122381387e-08,3.7052695246112113e-06,211.15,9,PIK3CA;THPO;AXL;SRC;TEK;PPARA;EGFR;PTK2;IGF1R
GO_BP,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),1.0226450562199723e-07,3.7857918943986428e-06,262.22,8,GSK3B;SYK;MMP1;SRC;MMP3;BTK;TP53;SNCA
GO_BP,Peptidyl-Threonine Modification (GO:0018210),1.0796318396345887e-07,3.919894063904045e-06,346.16,7,GSK3B;CDK5;TNKS;CDK1;AKT1;MAPK1;PRKCA
GO_BP,Regulation Of Anoikis (GO:2000209),1.1368820967565949e-07,4.04987433712538e-06,894.38,5,PIK3CA;SRC;BCL2;PTK2;MCL1
GO_BP,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),1.4744168810454463e-07,5.154998280395931e-06,322.96,7,FLT3;SRC;KDR;TEK;JAK2;PTK2;IGF1R
GO_BP,Regulation Of Cold-Induced Thermogenesis (GO:0120161),1.8045528325456644e-07,6.083920978296811e-06,188.26,9,ACHE;FABP4;KDM1A;SYK;STAT6;SIRT6;JAK2;TSHR;IGF1R
GO_BP,Negative Regulation Of Response To External Stimulus (GO:0032102),1.8045528325456644e-07,6.083920978296811e-06,188.26,9,ALOX5;AKT1;NLRP3;GBA1;PPARG;TEK;AHR;PPARA;ELANE
GO_BP,Cellular Response To UV-A (GO:0071492),2.1959459175418247e-07,7.241783145290716e-06,1814.04,4,MMP1;MMP2;MMP3;MMP9
GO_BP,Regulation Of Telomerase Activity (GO:0051972),2.2630572329033488e-07,7.241783145290716e-06,424.69,6,SRC;TNKS;MAPK1;CTNNB1;NEK2;TP53
GO_BP,Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),2.2630572329033488e-07,7.241783145290716e-06,424.69,6,PIK3CA;SRC;AKT1;BRAF;EGFR;PTK2
GO_BP,Cellular Response To Cytokine Stimulus (GO:0071345),2.368775958932588e-07,7.453748350774543e-06,116.49,12,GSK3B;AXL;DAPK1;FLT3;ALOX15;AKT1;STAT6;GBA1;JAK2;HIF1A;JAK3;NFKB1
GO_MF,Protein Tyrosine Kinase Activity (GO:0004713),1.5938773371685913e-17,4.638183051160601e-15,1354.0,15,ALK;ITK;SYK;FLT3;SRC;PTK2;EGFR;IGF1R;AXL;KDR;BTK;TEK;JAK2;JAK3;MET
GO_MF,Protein Serine/Threonine Kinase Activity (GO:0004674),1.3933021717874343e-10,2.027254659950717e-08,217.84,16,GSK3B;SYK;DAPK1;NEK6;PRKCA;BRAF;EGFR;CDK6;CDK5;CDK4;GRK6;PIM1;CDK1;AKT1;MAPK1;NEK2
GO_MF,Protein Phosphatase Binding (GO:0019903),1.2998190778576626e-09,9.714772834685655e-08,363.61,10,CTNNB1;NEK2;STAT6;PIK3R1;MAPT;TP53;JAK3;MET;PTK2;EGFR
GO_MF,Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),1.3353639635306741e-09,9.714772834685655e-08,898.46,7,ITK;SYK;SRC;BTK;JAK2;JAK3;PTK2
GO_MF,Serine-Type Endopeptidase Activity (GO:0004252),2.9469754717909382e-09,1.5090307882449597e-07,318.55,10,MMP12;DPP4;MMP7;MMP13;MMP1;MMP2;MMP3;F2;MMP9;ELANE
GO_MF,Steroid Hydroxylase Activity (GO:0008395),3.1114036871030095e-09,1.5090307882449597e-07,1248.64,6,CYP2C9;CYP1A2;CYP1A1;CYP2C19;CYP3A4;CYP19A1
GO_MF,DNA-binding Transcription Factor Binding (GO:0140297),9.95775205206658e-09,3.697778568494064e-07,169.57,13,GSK3B;CREBBP;KDM1A;NEK6;AHR;HIF1A;CREB1;BCL2;NLRP3;CTNNB1;PPARG;PPARA;TP53
GO_MF,Serine-Type Peptidase Activity (GO:0008236),1.0165714277646911e-08,3.697778568494064e-07,259.81,10,MMP12;DPP4;MMP7;MMP13;MMP1;MMP2;MMP3;F2;MMP9;ELANE
GO_MF,Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714),1.494550441216908e-08,4.832379759934669e-07,533.94,7,FLT3;AXL;KDR;TEK;MET;EGFR;IGF1R
GO_MF,Phosphatase Binding (GO:0019902),1.808636106255282e-08,5.263131069202871e-07,287.99,9,MAPK1;CTNNB1;NEK2;STAT6;PIK3R1;JAK3;MET;PTK2;EGFR
GO_MF,Heme Binding (GO:0020037),4.0034051347226194e-08,1.059082631094802e-06,316.31,8,CYP2C9;SRC;CYP1A2;NOX4;JAK2;CYP2C19;PTGS2;CYP19A1
GO_MF,Transmembrane Receptor Protein Kinase Activity (GO:0019199),6.707589466587122e-08,1.626590445647377e-06,576.99,6,ALK;FLT3;AXL;KDR;TEK;EGFR
GO_MF,Endopeptidase Activity (GO:0004175),7.568583313370822e-08,1.6941982647622378e-06,125.72,13,MMP7;MMP1;MMP2;MMP3;F2;MMP9;BACE1;MMP12;DPP4;ADAMTS4;MMP13;PSMB5;ELANE
GO_MF,Transcription Coregulator Binding (GO:0001221),1.1072155100258091e-07,2.205551267707794e-06,258.05,8,CREBBP;TERT;NEK6;CTNNB1;PPARG;STAT6;HIF1A;ESR1
GO_MF,"Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen (GO:0016702)",1.1368820967565949e-07,2.205551267707794e-06,894.38,5,ALOX5;ALOX15;ALOX12;PTGS2;PTGS1
GO_MF,Metalloendopeptidase Activity (GO:0004222),1.2945228924511315e-07,2.3544135106454954e-06,250.01,8,ADAMTS4;MMP12;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9
GO_MF,Transition Metal Ion Binding (GO:0046914),4.0873919046465117e-07,6.996653201483146e-06,88.81,14,TNKS;ALOX15;SIRT6;CYP3A4;MMP9;MMP12;ADAMTS4;MMP13;CA2;ALOX5;PIM1;PPARG;TP53;SNCA
GO_MF,Metallopeptidase Activity (GO:0008237),6.314250905316584e-07,1.0208038963595145e-05,180.2,8,MMP12;ADAMTS4;MMP7;MMP13;MMP1;MMP2;MMP3;MMP9
GO_MF,RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),8.648682500150421e-07,1.3246140039704066e-05,118.81,10,GSK3B;CREBBP;CREB1;KDM1A;CTNNB1;PPARG;AHR;PPARA;TP53;HIF1A
GO_MF,Transcription Coactivator Binding (GO:0001223),1.4638818994005684e-06,2.129948163627827e-05,414.32,5,CREBBP;TERT;STAT6;HIF1A;ESR1
GO_MF,DNA Binding (GO:0003677),7.5841957846324855e-06,0.00010509528444419302,46.53,17,ESRRA;APP;CREBBP;SIRT6;AHR;HIF1A;EGFR;ESR2;MMP12;TERT;APEX1;BCL2;NLRP3;PPARG;MAPT;PPARA;TP53
GO_MF,Cyclin-Dependent Protein Kinase Activity (GO:0097472),8.73576390560556e-06,0.00011052640419700947,434.94,4,CDK6;CDK5;CDK4;CDK1
GO_MF,Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0004693),8.73576390560556e-06,0.00011052640419700947,434.94,4,CDK6;CDK5;CDK4;CDK1
GO_MF,Iron Ion Binding (GO:0005506),1.815416997700668e-05,0.00022011931097120596,191.23,5,FTO;ALOX5;ALOX15;CYP3A4;SNCA
GO_MF,Estrogen Response Element Binding (GO:0034056),2.214577668515017e-05,0.000257776840615148,807.99,3,ESRRA;ESR1;ESR2
GO_MF,Zinc Ion Binding (GO:0008270),2.999681075413732e-05,0.0003357335357482292,58.04,10,MMP12;ADAMTS4;MMP13;TNKS;CA2;SIRT6;PPARG;TP53;MMP9;SNCA
GO_MF,Kinase Activity (GO:0016301),3.556878114270295e-05,0.0003833524189824652,110.55,6,GSK3B;CDK5;SYK;PIK3CA;CDK1;AKT1
GO_MF,Hsp90 Protein Binding (GO:0051879),4.895533803578435e-05,0.0005087858345861874,227.0,4,KDR;CYP1A1;MAPT;HIF1A
GO_MF,Phospholipase Binding (GO:0043274),8.220992695516249e-05,0.0008249340946190443,413.54,3,SYK;SRC;BTK
GO_MF,Protease Binding (GO:0002020),8.945491314344504e-05,0.0008677126574914169,84.45,6,DPP4;ADAMTS4;GSK3B;BCL2;TP53;ELANE
GO_MF,ATP Binding (GO:0005524),0.00022452398756628913,0.002107628399412585,45.04,8,CDK6;ABCB1;DAPK1;NEK6;BTK;PIM1;AKT1;NLRP3
GO_MF,Sequence-Specific DNA Binding (GO:0043565),0.0002675824912413338,0.002433328279725879,28.29,13,ESRRA;KDM1A;AHR;ESR1;HIF1A;MMP12;CREB1;TERT;BCL2;NLRP3;PPARG;MAPT;PPARA
GO_MF,BH Domain Binding (GO:0051400),0.0003297200775944884,0.0028220159582351798,932.11,2,BCL2;MCL1
GO_MF,BH3 Domain Binding (GO:0051434),0.0003297200775944884,0.0028220159582351798,932.11,2,BCL2;MCL1
GO_MF,Kinase Binding (GO:0019900),0.00034886338425644436,0.0029005498519607234,32.43,10,GSK3B;NEK6;CTNNB1;MAPT;JAK2;ESR1;HIF1A;ELAVL1;EGFR;PTK2
GO_MF,"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016712)",0.0003983604602792559,0.003220080387257319,187.63,3,CYP2C9;CYP1A2;CYP2C19
GO_MF,Adenyl Ribonucleotide Binding (GO:0032559),0.00044476172516895305,0.0034979908655179822,37.19,8,CDK6;ABCB1;DAPK1;NEK6;BTK;PIM1;AKT1;NLRP3
GO_MF,Vascular Endothelial Growth Factor Receptor Activity (GO:0005021),0.0004927044447159228,0.0037730787740087772,664.03,2,FLT3;KDR
GO_MF,Urate Transmembrane Transporter Activity (GO:0015143),0.0006871709689426305,0.004999168799057637,507.99,2,SLC2A9;ABCG2
GO_MF,Estrogen 16-Alpha-Hydroxylase Activity (GO:0101020),0.0006871709689426305,0.004999168799057637,507.99,2,CYP1A2;CYP3A4
GO_MF,SH2 Domain Binding (GO:0042169),0.0007590672286357738,0.005387525939829517,135.24,3,SRC;JAK2;PTK2
GO_MF,RNA Polymerase II CTD Heptapeptide Repeat Kinase Activity (GO:0008353),0.0009127553241873193,0.006182827065435072,406.8,2,CDK1;MAPK1
GO_MF,Telomeric DNA Binding (GO:0042162),0.0009136136213529489,0.006182827065435072,122.96,3,KDM1A;TERT;APEX1
GO_MF,Ubiquitin Protein Ligase Binding (GO:0031625),0.0010310724752820156,0.006819138416069694,32.82,7,GSK3B;NEK6;BCL2;CTNNB1;TP53;HIF1A;EGFR
GO_MF,Histone H3 Kinase Activity (GO:0140996),0.001169096278952863,0.007560155937228515,336.34,2,PRKCA;JAK2
GO_MF,ABC-type Xenobiotic Transporter Activity (GO:0008559),0.001455835676662768,0.008687645660679632,284.72,2,ABCB1;ABCG2
GO_MF,Phospholipase Activator Activity (GO:0016004),0.001455835676662768,0.008687645660679632,284.72,2,SRC;BTK
GO_MF,Death Domain Binding (GO:0070513),0.001455835676662768,0.008687645660679632,284.72,2,BCL2;MCL1
GO_MF,Tau Protein Binding (GO:0048156),0.0014921443957871207,0.008687645660679632,95.25,3,GSK3B;CDK5;SNCA
GO_MF,Ubiquitin-Like Protein Ligase Binding (GO:0044389),0.0014927226221099024,0.008687645660679632,29.05,7,GSK3B;NEK6;BCL2;CTNNB1;TP53;HIF1A;EGFR
GO_MF,Protein Homodimerization Activity (GO:0042803),0.0016267364490952087,0.009281966797778544,19.87,11,DPP4;ACHE;TERT;IDH1;BCL2;AKT1;SIRT6;AHR;ELAVL1;ABCG2;MCL1
GO_MF,Dynactin Binding (GO:0034452),0.0017726184138619496,0.009759789642154631,245.45,2,GSK3B;MAPT
GO_MF,Transcription Cis-Regulatory Region Binding (GO:0000976),0.0017775561891209466,0.009759789642154631,22.24,9,MMP12;CYP1A1;STAT6;PPARG;AHR;TP53;HIF1A;NFKB1;SNCA
GO_MF,Transcription Corepressor Binding (GO:0001222),0.0018508545614360705,0.009974049581072158,85.0,3,NEK6;CTNNB1;ESR1
GO_MF,Lipase Activator Activity (GO:0060229),0.002119092418310781,0.011211925340517041,214.67,2,SRC;BTK
GO_MF,G Protein-Coupled Chemoattractant Receptor Activity (GO:0001637),0.002494908627146446,0.012737165096484489,189.97,2,CXCR1;CCR4
GO_MF,Carbonate Dehydratase Activity (GO:0004089),0.002494908627146446,0.012737165096484489,189.97,2,CA2;CA5A
GO_MF,Cytokine Receptor Binding (GO:0005126),0.002745913476450517,0.013776910718053457,43.42,4,SYK;JAK2;JAK3;IL2
GO_MF,Protein Kinase Binding (GO:0019901),0.002944617710367721,0.014523453452830624,18.93,9,GSK3B;NEK6;NOX4;MAPT;JAK2;ESR1;HIF1A;ELAVL1;PTK2
GO_MF,Arachidonic Acid Epoxygenase Activity (GO:0008392),0.00333318632043643,0.016165953654116685,152.96,2,CYP2C9;CYP2C19
GO_CC,Intracellular Membrane-Bounded Organelle (GO:0043231),1.8108453369350087e-11,2.299773577907461e-09,87.99,64,ITK;GSK3B;KDM1A;AHR;MPO;ELAVL1;IGF1R;PIM1;AKT1;NEK2;JAK2;SYK;DAPK1;SIRT6;MMP12;CREB1;PKM;NPC1;BTK;PPARG;MAPT;PPARA;TP53;CFTR;FTO;L3MBTL1;TNKS;PIK3R1;CYP2C19;CYP3A4;HIF1A;EGFR;PTGS1;PSMB5;TERT;LMNA;HSD17B2;NLRP3;MAPK1;STAT6;SMN1;SNCA;MCL1;ESRRA;CREBBP;NEK6;BRAF;ESR1;ESR2;NFKB1;PTK2;CYP2C9;CDK6;FABP4;CDK5;AXL;CDK4;APEX1;CYP1A2;CYP1A1;BCL2;CDK1;NOX4;CTNNB1
GO_CC,Nucleus (GO:0005634),2.518697314494652e-09,1.599372794704104e-07,62.24,55,ITK;GSK3B;KDM1A;AHR;MPO;ELAVL1;PIM1;AKT1;NEK2;JAK2;SYK;DAPK1;SIRT6;MMP12;CREB1;PKM;NPC1;BTK;PPARG;MAPT;PPARA;TP53;CFTR;FTO;L3MBTL1;TNKS;PIK3R1;HIF1A;EGFR;PSMB5;TERT;LMNA;NLRP3;MAPK1;STAT6;SMN1;SNCA;MCL1;ESRRA;CREBBP;NEK6;ESR1;ESR2;NFKB1;PTK2;CDK6;FABP4;CDK5;CDK4;APEX1;CYP1A1;BCL2;CDK1;NOX4;CTNNB1
GO_CC,Membrane Raft (GO:0045121),6.239072362446012e-07,2.641207300102145e-05,148.14,9,APP;SRC;KDR;BTK;TEK;MAPT;JAK2;EGFR;ABCG2
GO_CC,Serine/Threonine Protein Kinase Complex (GO:1902554),2.5481970833929394e-05,0.0008090525739772583,171.78,5,CDK6;CDK5;DAPK1;CDK4;CDK1
GO_CC,Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307),8.355979601819322e-05,0.0020116685163459594,184.89,4,CDK6;CDK5;CDK4;CDK1
GO_CC,Secretory Granule Lumen (GO:0034774),9.503945746516343e-05,0.0020116685163459594,49.67,9,APP;PKM;TTR;ALOX5;IDH1;MAPK1;MPO;ELANE;NFKB1
GO_CC,Neuron Projection (GO:0043005),0.00039797550348864293,0.007220412706151093,29.05,11,APP;GSK3B;CDK5;ADORA3;APEX1;MAPT;SMN1;PTGS2;SNCA;IGF1R;PTGS1
GO_CC,Cytoplasmic Vesicle Lumen (GO:0060205),0.0005560225661075686,0.008826858236957651,60.69,5,BACE1;PKM;IDH1;ALOX5;NFKB1
